"team","status","date"
"Texas Southern","Away",2014-11-14
"Austin","Away",2014-11-14
"St Francis (IL)","Away",2014-11-14
"Cent Conn St","Away",2014-11-14
"Yale","Away",2014-11-14
"Hiwassee College","Away",2014-11-14
"The Citadel","Away",2014-11-14
"Presbyterian","Away",2014-11-14
"William & Mary","Away",2014-11-14
"Ark Monticello","Away",2014-11-14
"Tennessee","Away",2014-11-14
"Boise State","Away",2014-11-14
"W Carolina","Away",2014-11-14
"UVA","Away",2014-11-14
"Bryant","Away",2014-11-14
"UMass Lowell","Away",2014-11-14
"Kennesaw St","Away",2014-11-14
"MIT","Away",2014-11-14
"Monmouth","Away",2014-11-14
"N Arizona","Away",2014-11-14
"Marist","Away",2014-11-14
"Cleveland State","Away",2014-11-14
"Niagara","Away",2014-11-14
"Rider","Away",2014-11-14
"Siena","Away",2014-11-14
"UNC Wesleyan","Away",2014-11-14
"Flagler","Away",2014-11-14
"Manchester","Away",2014-11-14
"Lafayette","Away",2014-11-14
"LBSU","Away",2014-11-14
"Alma","Away",2014-11-14
"MD-E Shore","Away",2014-11-14
"UNH","Away",2014-11-14
"Florida A&M","Away",2014-11-14
"Georgia","Away",2014-11-14
"UNC Asheville","Away",2014-11-14
"Howard","Away",2014-11-14
"Jackson State","Away",2014-11-14
"NJIT","Away",2014-11-14
"North Florida","Away",2014-11-14
"Piedmont","Away",2014-11-14
"Chowan","Away",2014-11-14
"Samford","Away",2014-11-14
"Charleston So","Away",2014-11-14
"Averett","Away",2014-11-14
"Grambling St","Away",2014-11-14
"Alabama A&M","Away",2014-11-14
"Pace","Away",2014-11-14
"Fair Dickinson","Away",2014-11-14
"Columbia","Away",2014-11-14
"Jacksonville St","Away",2014-11-14
"Tenn Temple","Away",2014-11-14
"Miss Valley St","Away",2014-11-14
"Morgan State","Away",2014-11-14
"Belmont","Away",2014-11-14
"Savannah State","Away",2014-11-14
"Rochester (MI)","Away",2014-11-14
"Piedmont Intl","Away",2014-11-14
"Minnesota","Away",2014-11-14
"American U","Away",2014-11-14
"South Dakota St","Away",2014-11-14
"Radford","Away",2014-11-14
"Barber-Scotia","Away",2014-11-14
"Trinity Baptist","Away",2014-11-14
"Cornell","Away",2014-11-14
"Florida College","Away",2014-11-14
"Wagner","Away",2014-11-14
"Grand Canyon","Away",2014-11-14
"Mt St Mary's","Away",2014-11-14
"UCSB","Away",2014-11-14
"NC Central","Away",2014-11-14
"Lehigh","Away",2014-11-14
"Oakland","Away",2014-11-14
"SE Louisiana","Away",2014-11-14
"PV A&M","Away",2014-11-14
"St Peter's","Away",2014-11-14
"UT-Arlington","Away",2014-11-14
"Indiana State","Away",2014-11-14
"Houston","Away",2014-11-14
"St Francis (PA)","Away",2014-11-14
"Pacific","Away",2014-11-14
"Air Force","Away",2014-11-14
"UMBC","Away",2014-11-14
"Edward Waters","Away",2014-11-14
"Wayland","Away",2014-11-14
"NYIT","Away",2014-11-14
"FAU","Away",2014-11-14
"Ohio Valley","Away",2014-11-14
"William Carey","Away",2014-11-14
"Huston-Tillotson","Away",2014-11-14
"Bethesda","Away",2014-11-14
"Drexel","Away",2014-11-14
"Brewton Parker","Away",2014-11-14
"Louisiana Coll.","Away",2014-11-14
"Houston Baptist","Away",2014-11-14
"Northwestern St","Away",2014-11-14
"Hillsdale (OK)","Away",2014-11-14
"Miss. College","Away",2014-11-14
"Lady of the Lake","Away",2014-11-14
"Hartford","Away",2014-11-14
"Harris Stowe","Away",2014-11-14
"Reinhardt","Away",2014-11-14
"Pfeiffer","Away",2014-11-14
"Greensboro","Away",2014-11-14
"E Illinois","Away",2014-11-14
"Carroll (MT)","Away",2014-11-14
"North Dakota St","Away",2014-11-14
"Rockhurst","Away",2014-11-14
"Jacksonville","Away",2014-11-14
"East Tenn St","Away",2014-11-14
"Randolph College","Away",2014-11-14
"Charleston","Away",2014-11-14
"Aub.-Montgomery","Away",2014-11-14
"N Kentucky","Away",2014-11-14
"New Mexico St","Away",2014-11-14
"Sacramento St","Away",2014-11-14
"Southern Utah","Away",2014-11-14
"Loyola (MD)","Away",2014-11-14
"Black Hills St","Away",2014-11-14
"SE Missouri St","Away",2014-11-14
"Binghamton","Away",2014-11-14
"Berry","Away",2014-11-14
"UMKC","Away",2014-11-14
"LA Tech","Away",2014-11-14
"Ga Southern","Away",2014-11-14
"Texas-Tyler","Away",2014-11-14
"Towson","Away",2014-11-14
"Cent Arkansas","Away",2014-11-14
"Weber State","Away",2014-11-14
"South Dakota","Away",2014-11-14
"Michigan State","Away",2014-11-14
"Lamar","Away",2014-11-14
"McNeese State","Away",2014-11-14
"UT Martin","Away",2014-11-14
"Hampton","Away",2014-11-14
"CS Northridge","Away",2014-11-14
"Ball State","Away",2014-11-14
"Eastern Oregon","Away",2014-11-14
"Idaho State","Away",2014-11-14
"Concordia (OR)","Away",2014-11-14
"Fresno State","Away",2014-11-14
"UIC","Away",2014-11-14
"CSU Bakersfield","Away",2014-11-14
"Chicago State","Away",2014-11-14
"Texas State","Away",2014-11-14
"Alcorn State","Away",2014-11-14
"Rice","Away",2014-11-14
"Washington St","Away",2014-11-14
"S Carolina St","Away",2014-11-14
"CS Fullerton","Away",2014-11-14
"Chapman","Away",2014-11-14
"Milwaukee","Away",2014-11-14
"Cal State-LA","Away",2014-11-14
"Morehead State","Away",2014-11-14
"Montana State","Away",2014-11-14
"Wofford","Away",2014-11-14
"Coppin State","Away",2014-11-14
"AR-Pine Bluff","Away",2014-11-14
"E Washington","Home",2014-11-14
"Sam Houston","Home",2014-11-14
"E Michigan","Home",2014-11-14
"Fairfield","Home",2014-11-14
"Quinnipiac","Home",2014-11-14
"Chattanooga","Home",2014-11-14
"VMI","Home",2014-11-14
"Duke","Home",2014-11-14
"Florida","Home",2014-11-14
"North Texas","Home",2014-11-14
"VCU","Home",2014-11-14
"San Diego","Home",2014-11-14
"Miss St","Home",2014-11-14
"JMU","Home",2014-11-14
"UConn","Home",2014-11-14
"OSU","Home",2014-11-14
"Syracuse","Home",2014-11-14
"Harvard","Home",2014-11-14
"West Virginia","Home",2014-11-14
"Xavier","Home",2014-11-14
"Bucknell","Home",2014-11-14
"Iona","Home",2014-11-14
"Pitt","Home",2014-11-14
"Princeton","Home",2014-11-14
"UMass","Home",2014-11-14
"ECU","Home",2014-11-14
"USF","Home",2014-11-14
"IPFW","Home",2014-11-14
"Robert Morris","Home",2014-11-14
"BYU","Home",2014-11-14
"Cent Michigan","Home",2014-11-14
"VT","Home",2014-11-14
"Boston College","Home",2014-11-14
"Clemson","Home",2014-11-14
"Georgia Tech","Home",2014-11-14
"Wake Forest","Home",2014-11-14
"Miami (FL)","Home",2014-11-14
"NC State","Home",2014-11-14
"St John's","Home",2014-11-14
"South Carolina","Home",2014-11-14
"Mercer","Home",2014-11-14
"UNC Greensboro","Home",2014-11-14
"Purdue","Home",2014-11-14
"Ole Miss","Home",2014-11-14
"Longwood","Home",2014-11-14
"G Washington","Home",2014-11-14
"Dayton","Home",2014-11-14
"URI","Home",2014-11-14
"Saint Joe's","Home",2014-11-14
"Stony Brook","Home",2014-11-14
"Marshall","Home",2014-11-14
"Georgia State","Home",2014-11-14
"Indiana","Home",2014-11-14
"Penn State","Home",2014-11-14
"Wright State","Home",2014-11-14
"E Kentucky","Home",2014-11-14
"Detroit","Home",2014-11-14
"Tenn Tech","Home",2014-11-14
"Louisville","Home",2014-11-14
"Temple","Home",2014-11-14
"Buffalo","Home",2014-11-14
"Richmond","Home",2014-11-14
"Campbell","Home",2014-11-14
"Coast Carolina","Home",2014-11-14
"George Mason","Home",2014-11-14
"FIU","Home",2014-11-14
"Maryland","Home",2014-11-14
"Kentucky","Home",2014-11-14
"Arizona","Home",2014-11-14
"Kansas","Home",2014-11-14
"UNC","Home",2014-11-14
"Villanova","Home",2014-11-14
"Iowa State","Home",2014-11-14
"Oklahoma State","Home",2014-11-14
"TCU","Home",2014-11-14
"Brown","Home",2014-11-14
"Bradley","Home",2014-11-14
"IUPUI","Home",2014-11-14
"Murray State","Home",2014-11-14
"Cincinnati","Home",2014-11-14
"W Illinois","Home",2014-11-14
"Army","Home",2014-11-14
"Akron","Home",2014-11-14
"Stetson","Home",2014-11-14
"UT Pan American","Home",2014-11-14
"Fordham","Home",2014-11-14
"Elon","Home",2014-11-14
"Mid Tennessee","Home",2014-11-14
"Southern Miss","Home",2014-11-14
"UTSA","Home",2014-11-14
"San Jose State","Home",2014-11-14
"Colorado","Home",2014-11-14
"Troy","Home",2014-11-14
"LA-Lafayette","Home",2014-11-14
"Northwestern","Home",2014-11-14
"Texas A&M","Home",2014-11-14
"Abil Christian","Home",2014-11-14
"SF Austin","Home",2014-11-14
"Texas A&M-CC","Home",2014-11-14
"Sacred Heart","Home",2014-11-14
"SIU-ED","Home",2014-11-14
"Tennessee St","Home",2014-11-14
"Norfolk State","Home",2014-11-14
"NC A&T","Home",2014-11-14
"Missouri State","Home",2014-11-14
"South Alabama","Home",2014-11-14
"Texas","Home",2014-11-14
"Loyola (CHI)","Home",2014-11-14
"Hofstra","Home",2014-11-14
"Valparaiso","Home",2014-11-14
"Liberty","Home",2014-11-14
"Furman","Home",2014-11-14
"Alabama State","Home",2014-11-14
"Wisconsin","Home",2014-11-14
"Wichita State","Home",2014-11-14
"Gonzaga","Home",2014-11-14
"Kansas State","Home",2014-11-14
"Texas Tech","Home",2014-11-14
"N Colorado","Home",2014-11-14
"Loyola Mary","Home",2014-11-14
"Notre Dame","Home",2014-11-14
"Lipscomb","Home",2014-11-14
"Missouri","Home",2014-11-14
"Southern","Home",2014-11-14
"Illinois","Home",2014-11-14
"Incarnate Word","Home",2014-11-14
"Alabama","Home",2014-11-14
"Creighton","Home",2014-11-14
"Utah State","Home",2014-11-14
"Utah Valley","Home",2014-11-14
"Navy","Home",2014-11-14
"SMU","Home",2014-11-14
"Baylor","Home",2014-11-14
"Marquette","Home",2014-11-14
"Iowa","Home",2014-11-14
"San Diego State","Home",2014-11-14
"Utah","Home",2014-11-14
"Idaho","Home",2014-11-14
"New Mexico","Home",2014-11-14
"Portland","Home",2014-11-14
"Pepperdine","Home",2014-11-14
"DePaul","Home",2014-11-14
"High Point","Home",2014-11-14
"Arizona State","Home",2014-11-14
"Seattle","Home",2014-11-14
"Cal","Home",2014-11-14
"Oregon State","Home",2014-11-14
"UTEP","Home",2014-11-14
"Washington","Home",2014-11-14
"Santa Clara","Home",2014-11-14
"UC Irvine","Home",2014-11-14
"Auburn","Home",2014-11-14
"Saint Mary's","Home",2014-11-14
"UNLV","Home",2014-11-14
"UCLA","Home",2014-11-14
"Stanford","Home",2014-11-14
"Oregon","Home",2014-11-14
"Hawaii","Home",2014-11-14
"St Francis (BKN)","Away",2014-11-15
"Trinity Baptist","Away",2014-11-15
"Manhattan","Away",2014-11-15
"Gardner-Webb","Away",2014-11-15
"Hillsdale","Away",2014-11-15
"North Dakota","Away",2014-11-15
"UVM","Away",2014-11-15
"Appalachian St","Away",2014-11-15
"Nova SE","Away",2014-11-15
"Catholic Univ.","Away",2014-11-15
"Bluefield St","Away",2014-11-15
"Colgate","Away",2014-11-15
"Earlham","Away",2014-11-15
"Bowling Green","Away",2014-11-15
"Aurora","Away",2014-11-15
"Pfeiffer","Away",2014-11-15
"IL-Springfield","Away",2014-11-15
"Maine","Away",2014-11-15
"Delaware State","Away",2014-11-15
"Austin Peay","Away",2014-11-15
"SE Missouri St","Away",2014-11-15
"The Citadel","Away",2014-11-15
"Cal Poly","Away",2014-11-15
"Kent State","Away",2014-11-15
"Albany","Away",2014-11-15
"Dartmouth","Away",2014-11-15
"UNC-Wilmington","Away",2014-11-15
"San Fran St","Away",2014-11-15
"UC San Diego","Away",2014-11-15
"Florida A&M","Away",2014-11-15
"Fairfield","Away",2014-11-15
"S Illinois","Away",2014-11-15
"Tulsa","Away",2014-11-15
"Boise State","Away",2014-11-15
"UL Monroe","Away",2014-11-15
"VMI","Away",2014-11-15
"Montana","Away",2014-11-15
"High Point","Away",2014-11-15
"SD Christian","Away",2014-11-15
"Portland State","Away",2014-11-15
"CSU Bakersfield","Away",2014-11-15
"Georgetown","Home",2014-11-15
"Bethune-Cookman","Home",2014-11-15
"FSU","Home",2014-11-15
"LSU","Home",2014-11-15
"Michigan","Home",2014-11-15
"Northern Iowa","Home",2014-11-15
"Canisius","Home",2014-11-15
"Ohio","Home",2014-11-15
"FGCU","Home",2014-11-15
"Davidson","Home",2014-11-15
"Duquesne","Home",2014-11-15
"La Salle","Home",2014-11-15
"Evansville","Home",2014-11-15
"Drake","Home",2014-11-15
"N Illinois","Home",2014-11-15
"Winthrop","Home",2014-11-15
"Green Bay","Home",2014-11-15
"Butler","Home",2014-11-15
"Penn","Home",2014-11-15
"W Kentucky","Home",2014-11-15
"San Diego","Home",2014-11-15
"Air Force","Home",2014-11-15
"Nevada","Home",2014-11-15
"Youngstown St","Home",2014-11-15
"Providence","Home",2014-11-15
"St Bonaventure","Home",2014-11-15
"Old Dominion","Home",2014-11-15
"LBSU","Home",2014-11-15
"UC Riverside","Home",2014-11-15
"USC Upstate","Home",2014-11-15
"Duke","Home",2014-11-15
"Saint Louis","Home",2014-11-15
"Oral Roberts","Home",2014-11-15
"Loyola Mary","Home",2014-11-15
"UAB","Home",2014-11-15
"Army","Home",2014-11-15
"Colorado State","Home",2014-11-15
"AR-Pine Bluff","Home",2014-11-15
"Santa Clara","Home",2014-11-15
"USC","Home",2014-11-15
"Hawaii","Home",2014-11-15
"Buffalo","Away",2014-11-16
"Mercer","Away",2014-11-16
"Boston U","Away",2014-11-16
"Chattanooga","Away",2014-11-16
"Samford","Away",2014-11-16
"Princeton","Away",2014-11-16
"N Kentucky","Away",2014-11-16
"N Arizona","Away",2014-11-16
"Southern Utah","Away",2014-11-16
"St Peter's","Away",2014-11-16
"Jackson State","Away",2014-11-16
"UNC Asheville","Away",2014-11-16
"Navy","Away",2014-11-16
"Fla. National","Away",2014-11-16
"UMass Lowell","Away",2014-11-16
"Aquinas College","Away",2014-11-16
"SE Louisiana","Away",2014-11-16
"PV A&M","Away",2014-11-16
"Lafayette","Away",2014-11-16
"IUPUI","Away",2014-11-16
"UMass","Away",2014-11-16
"Ark Monticello","Away",2014-11-16
"LSU-Alexandria","Away",2014-11-16
"Trevecca","Away",2014-11-16
"Hampton","Away",2014-11-16
"N Colorado","Away",2014-11-16
"Cornell","Away",2014-11-16
"Portland","Away",2014-11-16
"Savannah State","Away",2014-11-16
"Berea College","Away",2014-11-16
"Oberlin","Away",2014-11-16
"Utah State","Away",2014-11-16
"Cent Arkansas","Away",2014-11-16
"Fordham","Away",2014-11-16
"Alabama State","Away",2014-11-16
"Ohio Dominican","Away",2014-11-16
"Harvard","Away",2014-11-16
"Chicago State","Away",2014-11-16
"Charlotte","Away",2014-11-16
"Robert Morris","Away",2014-11-16
"Idaho State","Away",2014-11-16
"Stetson","Away",2014-11-16
"South Dakota","Away",2014-11-16
"Pacific","Away",2014-11-16
"Coppin State","Away",2014-11-16
"Valparaiso","Away",2014-11-16
"Goucher","Away",2014-11-16
"Norfolk State","Away",2014-11-16
"G Washington","Away",2014-11-16
"Holy Names","Away",2014-11-16
"CS Northridge","Away",2014-11-16
"Alcorn State","Away",2014-11-16
"S Carolina St","Away",2014-11-16
"Kennesaw St","Away",2014-11-16
"Sam Houston","Away",2014-11-16
"CS Fullerton","Away",2014-11-16
"Coast Carolina","Away",2014-11-16
"Kentucky","Home",2014-11-16
"Seton Hall","Home",2014-11-16
"Northeastern","Home",2014-11-16
"Wisconsin","Home",2014-11-16
"Pitt","Home",2014-11-16
"George Mason","Home",2014-11-16
"Nebraska","Home",2014-11-16
"Toledo","Home",2014-11-16
"Miami (OH)","Home",2014-11-16
"Hartford","Home",2014-11-16
"USF","Home",2014-11-16
"ECU","Home",2014-11-16
"Notre Dame","Home",2014-11-16
"Jacksonville","Home",2014-11-16
"URI","Home",2014-11-16
"W Michigan","Home",2014-11-16
"Oklahoma","Home",2014-11-16
"Oklahoma State","Home",2014-11-16
"West Virginia","Home",2014-11-16
"Purdue","Home",2014-11-16
"Boston College","Home",2014-11-16
"AR-Little Rock","Home",2014-11-16
"Lamar","Home",2014-11-16
"Vanderbilt","Home",2014-11-16
"Syracuse","Home",2014-11-16
"Wyoming","Home",2014-11-16
"Loyola (MD)","Home",2014-11-16
"San Jose State","Home",2014-11-16
"Marshall","Home",2014-11-16
"Austin Peay","Home",2014-11-16
"Youngstown St","Home",2014-11-16
"Illinois State","Home",2014-11-16
"Omaha","Home",2014-11-16
"Penn State","Home",2014-11-16
"Arkansas","Home",2014-11-16
"Wright State","Home",2014-11-16
"Holy Cross","Home",2014-11-16
"Creighton","Home",2014-11-16
"Elon","Home",2014-11-16
"UNC","Home",2014-11-16
"Denver","Home",2014-11-16
"UCF","Home",2014-11-16
"Stanford","Home",2014-11-16
"UC Irvine","Home",2014-11-16
"Illinois","Home",2014-11-16
"Missouri","Home",2014-11-16
"Howard","Home",2014-11-16
"UVA","Home",2014-11-16
"Rutgers","Home",2014-11-16
"UC Davis","Home",2014-11-16
"Arizona","Home",2014-11-16
"Texas","Home",2014-11-16
"San Francisco","Home",2014-11-16
"Cal","Home",2014-11-16
"UNLV","Home",2014-11-16
"New Mexico","Home",2014-11-16
"UCLA","Home",2014-11-16
"Texas Southern","Away",2014-11-17
"Jacksonville St","Away",2014-11-17
"Miami (FL)","Away",2014-11-17
"MD-E Shore","Away",2014-11-17
"UVM","Away",2014-11-17
"LA Tech","Away",2014-11-17
"IU-Kokomo","Away",2014-11-17
"Oakland","Away",2014-11-17
"Winthrop","Away",2014-11-17
"Hofstra","Away",2014-11-17
"Webber Int.","Away",2014-11-17
"UCSB","Away",2014-11-17
"Delaware","Away",2014-11-17
"Radford","Away",2014-11-17
"Saint Joe's","Away",2014-11-17
"Northwestern","Away",2014-11-17
"Newbury College","Away",2014-11-17
"Warner","Away",2014-11-17
"FDU-Florham","Away",2014-11-17
"Cincinnati Christian","Away",2014-11-17
"Maine","Away",2014-11-17
"Tiffin","Away",2014-11-17
"Towson","Away",2014-11-17
"Baptist Bible","Away",2014-11-17
"St Francis (PA)","Away",2014-11-17
"Franklin Pierce","Away",2014-11-17
"Belmont","Away",2014-11-17
"USC Upstate","Away",2014-11-17
"Gardner-Webb","Away",2014-11-17
"Erskine","Away",2014-11-17
"Cent Conn St","Away",2014-11-17
"Lyon College","Away",2014-11-17
"Bucknell","Away",2014-11-17
"UMKC","Away",2014-11-17
"Washington St","Away",2014-11-17
"McKendree","Away",2014-11-17
"W Illinois","Away",2014-11-17
"North Dakota St","Away",2014-11-17
"IPFW","Away",2014-11-17
"Wake Forest","Away",2014-11-17
"UT Pan American","Away",2014-11-17
"LSU-Alexandria","Away",2014-11-17
"South Alabama","Away",2014-11-17
"Young Harris College","Away",2014-11-17
"Ole Miss","Away",2014-11-17
"Champ. Baptist","Away",2014-11-17
"Hillsdale (OK)","Away",2014-11-17
"Eureka","Away",2014-11-17
"Miss Valley St","Away",2014-11-17
"Minn Crookston","Away",2014-11-17
"Utah Valley","Away",2014-11-17
"UT Martin","Away",2014-11-17
"Nicholls State","Away",2014-11-17
"Georgia State","Away",2014-11-17
"Montana State","Away",2014-11-17
"Binghamton","Away",2014-11-17
"W Carolina","Away",2014-11-17
"Bethune-Cookman","Away",2014-11-17
"Presentation College","Away",2014-11-17
"LA-Lafayette","Away",2014-11-17
"South Dakota St","Away",2014-11-17
"Sacramento St","Away",2014-11-17
"Bristol","Away",2014-11-17
"Adams St.","Away",2014-11-17
"Cal Lutheran","Away",2014-11-17
"AR-Pine Bluff","Away",2014-11-17
"SMU","Away",2014-11-17
"Detroit","Away",2014-11-17
"Tenn Tech","Away",2014-11-17
"Auburn","Away",2014-11-17
"New Mexico St","Away",2014-11-17
"High Point","Away",2014-11-17
"Indiana","Home",2014-11-17
"Louisville","Home",2014-11-17
"Florida","Home",2014-11-17
"Villanova","Home",2014-11-17
"Siena","Home",2014-11-17
"Temple","Home",2014-11-17
"Ball State","Home",2014-11-17
"E Michigan","Home",2014-11-17
"Clemson","Home",2014-11-17
"NC State","Home",2014-11-17
"North Florida","Home",2014-11-17
"FGCU","Home",2014-11-17
"Liberty","Home",2014-11-17
"JMU","Home",2014-11-17
"Drexel","Home",2014-11-17
"Brown","Home",2014-11-17
"Yale","Home",2014-11-17
"FAU","Home",2014-11-17
"Fair Dickinson","Home",2014-11-17
"Morehead State","Home",2014-11-17
"NJIT","Home",2014-11-17
"Cleveland State","Home",2014-11-17
"Morgan State","Home",2014-11-17
"Delaware State","Home",2014-11-17
"American U","Home",2014-11-17
"St John's","Home",2014-11-17
"Lipscomb","Home",2014-11-17
"NC A&T","Home",2014-11-17
"Charleston","Home",2014-11-17
"Charleston So","Home",2014-11-17
"Maryland","Home",2014-11-17
"Northwestern St","Home",2014-11-17
"Michigan","Home",2014-11-17
"Kansas State","Home",2014-11-17
"TCU","Home",2014-11-17
"Loyola (CHI)","Home",2014-11-17
"UIC","Home",2014-11-17
"Iowa","Home",2014-11-17
"SIU-ED","Home",2014-11-17
"Tulane","Home",2014-11-17
"UTSA","Home",2014-11-17
"Southern","Home",2014-11-17
"Southern Miss","Home",2014-11-17
"UAB","Home",2014-11-17
"Troy","Home",2014-11-17
"UL Monroe","Home",2014-11-17
"Houston Baptist","Home",2014-11-17
"E Illinois","Home",2014-11-17
"Miss St","Home",2014-11-17
"Milwaukee","Home",2014-11-17
"E Washington","Home",2014-11-17
"Arkansas State","Home",2014-11-17
"North Texas","Home",2014-11-17
"Iowa State","Home",2014-11-17
"Grand Canyon","Home",2014-11-17
"Providence","Home",2014-11-17
"Alabama","Home",2014-11-17
"Arizona State","Home",2014-11-17
"Weber State","Home",2014-11-17
"Tulsa","Home",2014-11-17
"Idaho","Home",2014-11-17
"UC Riverside","Home",2014-11-17
"Fresno State","Home",2014-11-17
"Nevada","Home",2014-11-17
"Pepperdine","Home",2014-11-17
"CSU Bakersfield","Home",2014-11-17
"Gonzaga","Home",2014-11-17
"Oregon","Home",2014-11-17
"USC","Home",2014-11-17
"Colorado","Home",2014-11-17
"Saint Mary's","Home",2014-11-17
"Hawaii","Home",2014-11-17
"Iona","Away",2014-11-18
"Northern Iowa","Away",2014-11-18
"Manhattan","Away",2014-11-18
"Baylor","Away",2014-11-18
"Wichita State","Away",2014-11-18
"Utah","Away",2014-11-18
"Toledo","Away",2014-11-18
"Michigan State","Away",2014-11-18
"S Carolina St","Away",2014-11-18
"Mayville St","Away",2014-11-18
"Rider","Away",2014-11-18
"Canisius","Away",2014-11-18
"Colgate","Away",2014-11-18
"Youngstown St","Away",2014-11-18
"Alabama A&M","Away",2014-11-18
"Northeastern","Away",2014-11-18
"LBSU","Away",2014-11-18
"Texas A&M-CC","Away",2014-11-18
"Jackson State","Away",2014-11-18
"FIU","Away",2014-11-18
"Virginia-Wise","Away",2014-11-18
"UNC-Wilmington","Away",2014-11-18
"Johnson Univ (TN)","Away",2014-11-18
"Campbell","Away",2014-11-18
"Columbia Intl","Away",2014-11-18
"Wagner","Away",2014-11-18
"W. Virginia Tech","Away",2014-11-18
"KY Christian","Away",2014-11-18
"Stony Brook","Away",2014-11-18
"Thomas College","Away",2014-11-18
"Howard","Away",2014-11-18
"Coll of Faith","Away",2014-11-18
"Saint Louis","Away",2014-11-18
"Marquette","Away",2014-11-18
"Piedmont","Away",2014-11-18
"Trinity Baptist","Away",2014-11-18
"Cent Arkansas","Away",2014-11-18
"NW Oklahoma St","Away",2014-11-18
"La Salle","Away",2014-11-18
"S Illinois","Away",2014-11-18
"Buffalo","Away",2014-11-18
"Malone University","Away",2014-11-18
"IU-Northwest","Away",2014-11-18
"Richmond","Away",2014-11-18
"Murray State","Away",2014-11-18
"W Kentucky","Away",2014-11-18
"Huston-Tillotson","Away",2014-11-18
"Louisiana Coll.","Away",2014-11-18
"Pensacola","Away",2014-11-18
"Hannibal-LaGrange Co","Away",2014-11-18
"Lyon College","Away",2014-11-18
"Drake","Away",2014-11-18
"Chattanooga","Away",2014-11-18
"Western St.","Away",2014-11-18
"Kansas","Away",2014-11-18
"Texas Tech","Away",2014-11-18
"AR-Little Rock","Away",2014-11-18
"Montana","Away",2014-11-18
"Corban U","Away",2014-11-18
"San Fran St","Away",2014-11-18
"Willamette","Away",2014-11-18
"Wofford","Home",2014-11-18
"SF Austin","Home",2014-11-18
"UMass","Home",2014-11-18
"South Carolina","Home",2014-11-18
"Memphis","Home",2014-11-18
"San Diego State","Home",2014-11-18
"VCU","Home",2014-11-18
"Duke","Home",2014-11-18
"UVA","Home",2014-11-18
"North Dakota","Home",2014-11-18
"Penn","Home",2014-11-18
"Lehigh","Home",2014-11-18
"Cornell","Home",2014-11-18
"Cent Michigan","Home",2014-11-18
"Georgia Tech","Home",2014-11-18
"FSU","Home",2014-11-18
"Xavier","Home",2014-11-18
"Georgetown","Home",2014-11-18
"Jacksonville","Home",2014-11-18
"Stetson","Home",2014-11-18
"East Tenn St","Home",2014-11-18
"UNC Greensboro","Home",2014-11-18
"VMI","Home",2014-11-18
"Davidson","Home",2014-11-18
"Coast Carolina","Home",2014-11-18
"Columbia","Home",2014-11-18
"Marshall","Home",2014-11-18
"E Kentucky","Home",2014-11-18
"Georgia","Home",2014-11-18
"UNH","Home",2014-11-18
"William & Mary","Home",2014-11-18
"NC Central","Home",2014-11-18
"Indiana State","Home",2014-11-18
"OSU","Home",2014-11-18
"Presbyterian","Home",2014-11-18
"Ga Southern","Home",2014-11-18
"Nebraska","Home",2014-11-18
"Oklahoma State","Home",2014-11-18
"Quinnipiac","Home",2014-11-18
"Tennessee St","Home",2014-11-18
"UT-Arlington","Home",2014-11-18
"Kent State","Home",2014-11-18
"Chicago State","Home",2014-11-18
"Old Dominion","Home",2014-11-18
"Mid Tennessee","Home",2014-11-18
"Minnesota","Home",2014-11-18
"Incarnate Word","Home",2014-11-18
"McNeese State","Home",2014-11-18
"New Orleans","Home",2014-11-18
"SE Missouri St","Home",2014-11-18
"Grambling St","Home",2014-11-18
"DePaul","Home",2014-11-18
"Butler","Home",2014-11-18
"Wyoming","Home",2014-11-18
"Kentucky","Home",2014-11-18
"LSU","Home",2014-11-18
"BYU","Home",2014-11-18
"Boise State","Home",2014-11-18
"Oregon State","Home",2014-11-18
"Cal Poly","Home",2014-11-18
"Portland State","Home",2014-11-18
"Wright State","Away",2014-11-19
"Toccoa Falls","Away",2014-11-19
"Siena","Away",2014-11-19
"Evansville","Away",2014-11-19
"Morehead State","Away",2014-11-19
"Army","Away",2014-11-19
"Boston U","Away",2014-11-19
"Princeton","Away",2014-11-19
"Ohio","Away",2014-11-19
"Coppin State","Away",2014-11-19
"Liberty","Away",2014-11-19
"NC A&T","Away",2014-11-19
"Kennesaw St","Away",2014-11-19
"Appalachian St","Away",2014-11-19
"Longwood","Away",2014-11-19
"Joh. & Wales NC","Away",2014-11-19
"Dartmouth","Away",2014-11-19
"MD-E Shore","Away",2014-11-19
"Jacksonville St","Away",2014-11-19
"NJIT","Away",2014-11-19
"Hartwick","Away",2014-11-19
"Southern VT","Away",2014-11-19
"W Michigan","Away",2014-11-19
"Brown","Away",2014-11-19
"LIU Brooklyn","Away",2014-11-19
"Fair Dickinson","Away",2014-11-19
"Oklahoma","Away",2014-11-19
"Robert Morris","Away",2014-11-19
"Oral Roberts","Away",2014-11-19
"IUPUI","Away",2014-11-19
"UMBC","Away",2014-11-19
"Austin Peay","Away",2014-11-19
"Missouri S&T","Away",2014-11-19
"Delaware State","Away",2014-11-19
"PV A&M","Away",2014-11-19
"Lamar","Away",2014-11-19
"Trevecca","Away",2014-11-19
"Avila","Away",2014-11-19
"Abil Christian","Away",2014-11-19
"Santa Clara","Away",2014-11-19
"IND South Bend","Away",2014-11-19
